,segment_id
245,864691132690984696
283,864691132745562317
345,864691132680774344
395,864691132683151044
439,864691132779301067
447,864691132722461041
467,864691132887035593
501,864691132658062711
513,864691132638370192
528,864691132769384229
535,864691132628536162
710,864691132904223620
827,864691132735149160
853,864691132642153126
928,864691132896590550
972,864691132802008285
1000,864691132990653941
1057,864691132780154016
1121,864691132659833769
1172,864691132740599380
1266,864691133028935378
1326,864691132984459872
1424,864691132949420106
1505,864691132960730397
1514,864691132666827566
1593,864691132763964766
1678,864691132779264203
1800,864691132659534516
1836,864691132667816911
2000,864691132596401983
2009,864691132896047590
2113,864691133043000096
2140,864691132624453272
2179,864691132654396358
2185,864691132628594786
2188,864691132833696405
2197,864691132688456470
2199,864691132740044380
2212,864691132681884959
2217,864691132835943812
2231,864691132667453485
2249,864691132833542946
2262,864691132578301453
2263,864691132828309508
2265,864691132760793991
2288,864691132782905502
2314,864691132688478954
2323,864691132953416295
2347,864691132719724686
2348,864691132737848153
2352,864691132823992211
2382,864691132657901481
2388,864691132902170874
2399,864691132787168082
2400,864691132710615557
2404,864691132574738746
2411,864691132792853487
2418,864691132636661031
2419,864691132624520088
2420,864691132894518486
2427,864691132727390336
2428,864691132958064999
2430,864691132574654522
2438,864691132606457155
2486,864691132633945127
2488,864691132687769066
2492,864691132654176483
2523,864691132569568028
2527,864691132830599324
2533,864691132821414399
2544,864691132762665063
2552,864691132624892047
2558,864691132772080567
2562,864691132685563274
2571,864691132762889663
2578,864691132660954813
2600,864691132919533281
2601,864691132834577774
2625,864691132637266015
2646,864691132782910366
2650,864691132739202852
2661,864691132572568890
2666,864691132615679809
2667,864691132827499641
2672,864691132827499396
2673,864691132777976703
2679,864691132721562580
2694,864691132739188260
2699,864691132773149588
2706,864691132546466370
2728,864691132736987075
2773,864691132752538350
2789,864691132825555649
2803,864691132762320563
2804,864691132610912952
2822,864691132746417357
2847,864691132741334425
2869,864691132737835353
2870,864691132802121830
2875,864691132890763758
2884,864691132564267726
2889,864691132646421159
2890,864691132637126544
2893,864691132783638056
2895,864691132782553996
2908,864691132616924103
2923,864691132717250218
2938,864691132944883401
2953,864691132719091675
2958,864691132616204353
2960,864691132744033214
2974,864691132773418104
3017,864691132758361396
3020,864691133032789282
3036,864691132806476321
3038,864691132751217646
3045,864691132667325100
3049,864691132596362559
3063,864691132997038517
3064,864691132631232341
3083,864691132737965467
3090,864691132788050911
3092,864691132555006217
3093,864691132680784608
3097,864691132604503237
3110,864691133047278436
3154,864691132728554909
3162,864691132622632335
3163,864691132792817647
3175,864691132615659073
3179,864691132924432937
3180,864691132767933708
3198,864691132937442782
3199,864691132829938948
3210,864691132811987232
3213,864691132688008712
3222,864691132606843333
3247,864691132616894407
3251,864691132657979305
3266,864691132680467539
3270,864691132618832705
3271,864691132602278317
3281,864691132654696152
3287,864691132766170405
3292,864691132633783822
3294,864691132663021380
3304,864691132729684844
3321,864691132801329408
3329,864691132737873241
3338,864691132606411331
3342,864691132560066532
3347,864691132655548023
3353,864691132752852340
3354,864691132779199179
3377,864691132718279744
3379,864691132724937735
3393,864691132826640945
3399,864691132827065714
3400,864691132846916307
3401,864691132788078070
3404,864691132905753191
3407,864691132661462205
3414,864691132642301822
3420,864691132729722220
3421,864691132668199848
3425,864691132828277508
3429,864691132633849127
3438,864691132533674586
3447,864691132786354728
3451,864691132683861831
3457,864691132831552420
3462,864691132786421841
3470,864691132903029193
3474,864691132621015500
3493,864691132659176311
3497,864691132799366807
3523,864691132667316652
3537,864691132817959184
3543,864691132668339482
3565,864691132666532288
3581,864691132748356483
3591,864691132766176780
3594,864691132653920880
3595,864691132589840381
3597,864691132725549469
3598,864691132888784329
3603,864691132668670120
3608,864691132722920602
3610,864691132781025266
3615,864691132777635183
3625,864691132737006275
3628,864691132719321819
3655,864691132905838725
3658,864691132779122954
3662,864691132833037973
3666,864691133068438217
3669,864691132616875719
3671,864691132664062808
3683,864691132608097049
3691,864691132980067004
3700,864691132855120643
3701,864691132667027030
3727,864691132935710859
3735,864691132731102080
3739,864691133313629008
3746,864691132579269645
3750,864691132796818869
3754,864691132849694782
3755,864691132831525796
3777,864691132752593012
3781,864691132779267787
3787,864691132906899182
3790,864691132679317295
3793,864691133047305060
3795,864691132695830761
3802,864691132849719358
3809,864691132653457526
3810,864691132788116191
3820,864691132616895175
3822,864691132656274156
3825,864691132842513670
3826,864691132767840636
3832,864691132689271288
3833,864691132747156815
3849,864691132752048894
3868,864691132722901914
3883,864691132622681804
3886,864691132736226459
3894,864691132714136591
3909,864691132729713260
3913,864691132737000899
3922,864691132659563709
3925,864691132917526283
3950,864691132620040123
3961,864691132919492065
3987,864691132741374398
3995,864691132832413832
3999,864691132672111573
4014,864691132767557793
4023,864691132583572450
4028,864691132682296997
4034,864691132799337879
4045,864691132653888624
4053,864691132604506053
4055,864691133042938912
4071,864691132758317674
4107,864691132641845690
4108,864691133109766224
4126,864691132703935617
4137,864691132777595503
4149,864691132583634914
4151,864691133035029794
4165,864691132817166864
4170,864691132633938727
4171,864691132683323983
4184,864691132735038684
4185,864691132653745644
4192,864691132630954581
4193,864691132719758945
4199,864691132611698872
4212,864691132827938722
4217,864691132622589583
4225,864691132806620153
4227,864691132697763419
4228,864691132792776943
4233,864691132698315320
4239,864691132681934111
4244,864691132636905594
4248,864691132782015319
4255,864691132926439209
4276,864691132805588729
4283,864691132892944598
4293,864691132829182005
4296,864691132949396810
4297,864691132790659822
4302,864691132956213070
4305,864691132956199502
4306,864691132634882062
4307,864691132578995474
4312,864691132900526212
4319,864691132785355089
4325,864691132712574469
4330,864691132670519468
4332,864691132572376634
4334,864691132832458376
4362,864691132719784545
4366,864691132736985283
4381,864691132748681059
4389,864691132680162141
4406,864691132917555979
4416,864691132839384500
4426,864691132831628964
4434,864691132770170749
4436,864691132608657787
4461,864691132634417703
4483,864691132867582901
4485,864691132685598090
4486,864691132726853115
4492,864691132966575725
4494,864691132829214257
4499,864691133310621008
4505,864691132883682735
4515,864691132703972225
4526,864691133215742544
4536,864691132957208785
4544,864691132622819215
4547,864691132826375217
4573,864691132918867723
4577,864691132637303903
4582,864691132696009002
