,segment_id
0,864691132528085266
1,864691132533613402
2,864691132533623386
3,864691132533624154
4,864691132533625434
5,864691132533625946
6,864691132533626714
7,864691132533630042
8,864691132533633114
9,864691132533634394
10,864691132533635162
11,864691132533638490
12,864691132533640794
13,864691132533644122
14,864691132533645146
15,864691132533650266
16,864691132533652314
17,864691132533653338
18,864691132533657946
19,864691132533662042
20,864691132533673050
21,864691132533676122
22,864691132533682010
23,864691132533684570
24,864691132533686618
25,864691132533687898
26,864691132533695322
27,864691132533697370
28,864691132533700186
29,864691132533704538
30,864691132533815642
31,864691132533897818
32,864691132533928026
33,864691132533928282
34,864691132534314074
35,864691132535275866
36,864691132535615834
37,864691132535698778
38,864691132536177892
39,864691132536544858
40,864691132536657754
41,864691132536716378
42,864691132536844378
43,864691132537006682
44,864691132537067098
45,864691132537067354
46,864691132537172826
47,864691132537213786
48,864691132537224538
49,864691132537318746
50,864691132537604882
51,864691132538920011
52,864691132539581202
53,864691132540246802
54,864691132540387602
55,864691132540982034
56,864691132543910545
57,864691132543916177
58,864691132543918225
59,864691132543920017
60,864691132543921809
61,864691132543926417
62,864691132543931281
63,864691132543931793
64,864691132543936401
65,864691132543937169
66,864691132543939985
67,864691132543940753
68,864691132543943057
69,864691132543945873
70,864691132543946385
71,864691132543953297
72,864691132543954065
73,864691132543955601
74,864691132543958673
75,864691132543958929
76,864691132544069521
77,864691132544079761
78,864691132544082577
79,864691132544083345
80,864691132544083601
81,864691132544083857
82,864691132544084369
83,864691132544127121
84,864691132544127377
85,864691132544129169
86,864691132544136337
87,864691132544824977
88,864691132544990353
89,864691132545520785
90,864691132545847106
91,864691132545856322
92,864691132545856834
93,864691132545857090
94,864691132545858882
95,864691132545860418
96,864691132545862978
97,864691132545864258
98,864691132545865538
99,864691132545866562
100,864691132545868354
101,864691132545874498
102,864691132545878082
103,864691132545878850
104,864691132545880898
105,864691132545883970
106,864691132545884226
107,864691132545889346
108,864691132545892930
109,864691132545897282
110,864691132545902146
111,864691132545903170
112,864691132545905730
113,864691132545907010
114,864691132545908034
115,864691132545910082
116,864691132545910594
117,864691132545913922
118,864691132545914690
119,864691132545915202
120,864691132545917250
121,864691132545921602
122,864691132545923906
123,864691132545924418
124,864691132545924930
125,864691132545926210
126,864691132545928770
127,864691132545929026
128,864691132545931842
129,864691132545936194
130,864691132545940034
131,864691132545947202
132,864691132545950018
133,864691132545955138
134,864691132545964098
135,864691132545978434
136,864691132545983554
137,864691132545986882
138,864691132546000962
139,864691132546001730
140,864691132546171970
141,864691132546177090
142,864691132546179650
143,864691132546180162
144,864691132546197570
145,864691132546206018
146,864691132546292881
147,864691132546314818
148,864691132546450321
149,864691132546462530
150,864691132546712209
151,864691132546724241
152,864691132546825105
153,864691132546875025
154,864691132547093905
155,864691132547157137
156,864691132547590466
157,864691132547934274
158,864691132548459842
159,864691132548475714
160,864691132548717122
161,864691132548983618
162,864691132549223490
163,864691132549335106
164,864691132550352658
165,864691132550418706
166,864691132551729493
167,864691132554641417
168,864691132554988297
169,864691132554995465
170,864691132554998793
171,864691132555006473
172,864691132555006985
173,864691132555010569
174,864691132555012617
175,864691132555012873
176,864691132555013385
177,864691132555016713
178,864691132555020041
179,864691132555024137
180,864691132555027465
181,864691132555033097
182,864691132555035913
183,864691132555036681
184,864691132555037705
185,864691132555042313
186,864691132555042569
